type,region,country,partner,program_name,award_date,expiration_date,fy14_contrib,notes,implementer,lat,long,city
Development,CSA,Madagascar,CRS,SALOHI,5/19/09,, $-   ,FFP anticipates awarding new programs in FY14,CRS,-22.816667,47.816667,Farafangana
Development,CSA,Madagascar,CRS,SALOHI,5/19/09,, $-   ,FFP anticipates awarding new programs in FY14,CRS,-23.35,47.59999999999999,Vangaindranao
Development,CSA,Madagascar,CRS,SALOHI,5/19/09,, $-   ,FFP anticipates awarding new programs in FY14,CRS,-25.043056,46.385278,Amboasary Atismo
Development,CSA,Madagascar,CRS,SALOHI,5/19/09,, $-   ,FFP anticipates awarding new programs in FY14,CRS,-25.1720132,46.0897124,Ambovombe
Development,CSA,Madagascar,CRS,SALOHI,5/19/09,, $-   ,FFP anticipates awarding new programs in FY14,CRS,-23.6,46.016667,Bekily
Development,CSA,Madagascar,CRS,SALOHI,5/19/09,, $-   ,FFP anticipates awarding new programs in FY14,CRS,-20.266667,48.48333299999999,Beloha
Development,CSA,Madagascar,CRS,SALOHI,5/19/09,, $-   ,FFP anticipates awarding new programs in FY14,CRS,-25.31793,45.486149,Tsihombe
Development,CSA,Malawi,CRS,WALA,5/8/09,, $-   ,FFP anticipates awarding new programs in FY14,CRS,-16.916667,35.266667,Nsanje
Development,CSA,Malawi,CRS,WALA,5/8/09,, $-   ,FFP anticipates awarding new programs in FY14,CRS,-16.035,34.801,Chikwawa
Development,CSA,Malawi,CRS,WALA,5/8/09,, $-   ,FFP anticipates awarding new programs in FY14,CRS,-16.066667,35.133333,Thyolo
Development,CSA,Malawi,CRS,WALA,5/8/09,, $-   ,FFP anticipates awarding new programs in FY14,CRS,-16.033333,35.5,Mulanje
Development,CSA,Malawi,CRS,WALA,5/8/09,, $-   ,FFP anticipates awarding new programs in FY14,CRS,-15.383333,35.333333,Zomba
Development,CSA,Malawi,CRS,WALA,5/8/09,, $-   ,FFP anticipates awarding new programs in FY14,CRS,-15.1699934,35.2999779,Machinga
Development,CSA,Malawi,CRS,WALA,5/8/09,, $-   ,FFP anticipates awarding new programs in FY14,CRS,-15.6759485,35.1406293,Chiradzulu
Development,CSA,Malawi,CRS,WALA,5/8/09,, $-   ,FFP anticipates awarding new programs in FY14,CRS,-14.9876054,34.9561748,Balaka
Development,WAS,Niger,CRS,PASAM-TAI,7/27/12,," $8,334,000 ",Includes $5 million in CDF each year,CRS,13.95,7.666667,Mayahi
Development,WAS,Niger,CRS,PASAM-TAI,7/27/12,," $8,334,000 ",Includes $5 million in CDF each year,CRS,13.5526328,8.4869905,Kantche
Development,WAS,Niger,Mercy Corps,SAWKI,9/17/12,," $5,571,000 ",Includes $4 million in CDF each year,Mercy Corps,13.5913879,7.057910799999999,Chadakori
Development,WAS,Niger,Mercy Corps,SAWKI,9/17/12,," $5,571,000 ",Includes $4 million in CDF each year,Mercy Corps,,,Sabonmachi
Development,WAS,Niger,Mercy Corps,SAWKI,9/17/12,," $5,571,000 ",Includes $4 million in CDF each year,Mercy Corps,,,Dan Goulbi and Guida Roumdji
Development,WAS,Niger,Mercy Corps,SAWKI,9/17/12,," $5,571,000 ",Includes $4 million in CDF each year,Mercy Corps,13.499167,9.016943999999999,Dogo
Development,WAS,Niger,Mercy Corps,SAWKI,9/17/12,," $5,571,000 ",Includes $4 million in CDF each year,Mercy Corps,13.5939821,8.943854199999999,Droum
Development,WAS,Niger,Mercy Corps,SAWKI,9/17/12,," $5,571,000 ",Includes $4 million in CDF each year,Mercy Corps,,,Koléram
Development,WAS,Niger,Mercy Corps,SAWKI,9/17/12,," $5,571,000 ",Includes $4 million in CDF each year,Mercy Corps,13.7122103,9.1594532,Mirriah
Development,WAS,Niger,Mercy Corps,SAWKI,9/17/12,," $5,571,000 ",Includes $4 million in CDF each year,Mercy Corps,13.8655,9.313948,Zermou
Development,WAS,Niger,Mercy Corps,SAWKI,9/17/12,," $5,571,000 ",Includes $4 million in CDF each year,Mercy Corps,13.833333,9.083333,Gafati
Development,WAS,Niger,Mercy Corps,SAWKI,9/17/12,," $5,571,000 ",Includes $4 million in CDF each year,Mercy Corps,13.866667,8.816666999999999,Dakoussa 
Development,WAS,Niger,Save the Children,"Livelihoods, Agriculture and Health Interventions in Action (LAHIA)",9/17/12,," $6,072,000 ",Includes $4 million in CDF each year,Save the Children,13.503333,7.776943999999999,Aguié
Development,WAS,Niger,Save the Children,"Livelihoods, Agriculture and Health Interventions in Action (LAHIA)",9/17/12,," $6,072,000 ",Includes $4 million in CDF each year,Save the Children,13.6575,6.695832999999999,Guidan Roumdji 
Development,WAS,Sierra Leone,ACDI,Sustainable Nutrition and Agricultural Promotion (SNAP),6/10/10,," $11,581,000 ",Funding ends in 2015,ACDI,9.2475837,-12.1632718,Bombali
Development,WAS,Sierra Leone,ACDI,Sustainable Nutrition and Agricultural Promotion (SNAP),6/10/10,," $11,581,000 ",Funding ends in 2015,ACDI,9.5168769,-11.36363,Koinadugu
Development,WAS,Sierra Leone,ACDI,Sustainable Nutrition and Agricultural Promotion (SNAP),6/10/10,," $11,581,000 ",Funding ends in 2015,ACDI,8.277222,-10.573889,Kailahun
Development,WAS,Sierra Leone,ACDI,Sustainable Nutrition and Agricultural Promotion (SNAP),6/10/10,," $11,581,000 ",Funding ends in 2015,ACDI,8.9804274,-11.7947561,Tonkolili
Development,CSA,Uganda,ACDI,RWANU,8/17/12,," $10,977,313 ",Includes $5 million in CDF each year,ACDI,2.3522705,34.3764819,Napak
Development,CSA,Uganda,ACDI,RWANU,8/17/12,," $10,977,313 ",Includes $5 million in CDF each year,ACDI,1.8502515,34.7215859,Nakapiripirit
Development,CSA,Uganda,ACDI,RWANU,8/17/12,," $10,977,313 ",Includes $5 million in CDF each year,ACDI,2.53,34.67,Moroto
Development,CSA,Uganda,ACDI,RWANU,8/17/12,," $10,977,313 ",Includes $5 million in CDF each year,ACDI,1.952222,34.944444,Amudat
Development,CSA,Uganda,Mercy Corps,,7/20/12,," $8,926,687 ",Includes $5 million in CDF each year,Mercy Corps,3.5124436,34.1337219,Kaabong
Development,CSA,Uganda,Mercy Corps,,7/20/12,," $8,926,687 ",Includes $5 million in CDF each year,Mercy Corps,3.006111,34.1125,Kotido
Development,CSA,Uganda,Mercy Corps,,7/20/12,," $8,926,687 ",Includes $5 million in CDF each year,Mercy Corps,2.706698,33.6595337,Abim
Development,CSA,Zimbabwe,WV,ENSURE,6/14/13,," $12,083,000 ",,WV,-20.0957389,31.615219,Bikita
Development,CSA,Zimbabwe,WV,ENSURE,6/14/13,," $12,083,000 ",,WV,-20.3594165,30.4357631,Chivi
Development,CSA,Zimbabwe,WV,ENSURE,6/14/13,," $12,083,000 ",,WV,-20.4036628,31.4484747,Zaka
Development,CSA,Zimbabwe,WV,ENSURE,6/14/13,," $12,083,000 ",,WV,-19.3325,31.435,Buhera
Development,CSA,Zimbabwe,WV,ENSURE,6/14/13,," $12,083,000 ",,WV,-20.2,32.62,Chipinge
Development,CSA,Zimbabwe,WV,ENSURE,6/14/13,," $12,083,000 ",,WV,-19.8032402,32.8733117,Chimanimani 
Development,CSA,Zimbabwe,CNFA,,6/14/13,," $7,746,000 ",,CNFA,-19.766667,27.75,Tsholotsho
Development,CSA,Zimbabwe,CNFA,,6/14/13,," $7,746,000 ",,CNFA,,,Bulilima
Development,CSA,Zimbabwe,CNFA,,6/14/13,," $7,746,000 ",,CNFA,-20.7,28.066667,Mangwe
Development,CSA,Zimbabwe,CNFA,,6/14/13,," $7,746,000 ",,CNFA,-20.945,29.025,Gwanda
Emergency,WAS,Burkina Faso,WFP,PRRO 200509,1/1/14,12/30/14,"513,800",,WFP,,,Countrywide
Emergency,WAS,Niger,WFP,PRRO 200583,1/1/14,12/30/16,"23,420,500",,WFP,16.9741689,7.986535,Agadez
Emergency,WAS,Niger,WFP,PRRO 200583,1/1/14,12/30/16,"23,420,500",,WFP,13.316667,12.616667,Diffa
Emergency,WAS,Niger,WFP,PRRO 200583,1/1/14,12/30/16,"23,420,500",,WFP,13.05,3.2,Dosso
Emergency,WAS,Niger,WFP,PRRO 200583,1/1/14,12/30/16,"23,420,500",,WFP,13.483333,7.1,Maradi
Emergency,WAS,Niger,WFP,PRRO 200583,1/1/14,12/30/16,"23,420,500",,WFP,14.883333,5.266667,Tahoua
Emergency,WAS,Niger,WFP,PRRO 200583,1/1/14,12/30/16,"23,420,500",,WFP,14.6489525,2.1450245,Tillabéri 
Emergency,WAS,Niger,WFP,PRRO 200583,1/1/14,12/30/16,"23,420,500",,WFP,13.805278,8.988332999999999,Zinder
