iati-identifier,reporting-org,sector(name),sector(code),other-identifier,title,activity-scope,budget,recipient-country,recipient-country(percentage),recipient-region,recipient-region(percentage),contact-info,budget(period-start),budget(period-end),description
2011 CRD 307,African Union Commission,,,Climate: African Ag,"Horn of Africa response, Africa Risk Capacity project",,200000,,,Africa,200000,"Boltz, Fred",12/1/11,12/31/15,"in support of strengthening its internal capacity to design and implement the Africa Risk Capacity Project, a disaster risk pool that would provide resources to African nations in the event of a severe weather shock"
2012 AGR 301,Alliance for a Green Revolution in Africa,,,AGRA-General,AGRA work relevant to AGRA's new strategy RF's new Issue Areas,,5000000,,,Africa,5000000,"Biteye, Mamadou",1/1/13,12/31/15,toward the costs of initiating work relevant to its new strategy and the Rockefeller Foundation’s new Issue Areas
2012 CAC 302,Asian Disaster Preparedness Center,,,Climate: Asian Cities,supplementary technical assistance,,30015,,,Asia,30015,"Dayal, Ashvin",1/1/12,6/30/14,"in support of a project to provide further on-demand technical assistance for Asian Cities Climate Change Resilience Network (ACCCRN) partners during city-level project design and implementation phases in Thailand, Indonesia, Vietnam and India"
2012 CAC 306,Taru Leading Edge Private Limited,,,Climate: Asian Cities,Surat Urban Health Resource Center,,542528,India,542528,,,"Dayal, Ashvin",8/1/12,11/30/15,"in support of creating a Climate and Health Center of Excellence in Surat, India to develop and share an evidence base of practice regarding the delivery of effective health services that build resilience to climate related impacts on health for urban poor communities, as part of the Asian Cities Climate Change Resilience Network"
2012 CAC 307,United Nations Economic and Social Commission for Asia and the Pacific,,,Climate: Asian Cities,Urban Climate Change Resilience - Quick Guide,,75000,,,Asia,75000,"Dayal, Ashvin",5/1/12,6/30/14,for use by its Capacity Development Trust Fund toward the costs of developing and publishing the Quick Guide on Climate Change Adaptation and Resilience in Urban Poor Communities in Asia-Pacific to build the capacity of local government to promote inclusive and sustainable urban development policies
2012 CAC 309,Thailand Environment Institute Foundation,,,Climate: Asian Cities,City Project - Hat Yai building flood management capacity,,401200,Thailand,13333,,,"Dayal, Ashvin",10/1/12,3/31/15,"in support of a project to strengthen climate resilience-building measures and resilience strategy-planning processes to improve coordination mechanisms between local government agencies and enable them to develop climate-informed flood plans in Hat Yai, Thailand, as part of the Asian Cities Climate Change Resilience Network"
2012 CAC 309,Thailand Environment Institute Foundation,,,Climate: Asian Cities,City Project - Hat Yai building flood management capacity,,401200,Thailand,401200,,,"Dayal, Ashvin",10/1/12,3/31/15,"in support of a project to strengthen climate resilience-building measures and resilience strategy-planning processes to improve coordination mechanisms between local government agencies and enable them to develop climate-informed flood plans in Hat Yai, Thailand, as part of the Asian Cities Climate Change Resilience Network"
2012 CAC 310,Institute for Social and Environmental Transition,,,Climate: Asian Cities,Cost-benefit analysis study,,316928,,,Global,105642,"Dayal, Ashvin",8/1/12,10/31/14,"in support of a project to strengthen the economic case for investing in climate change resilience and adaptation interventions by conducting cost-benefit analyses of systematic efforts in two Asian Cities Climate Change Resilience Network cities (Gorakhpur, India and Da Nang, Vietnam)"
2012 CAC 310,Institute for Social and Environmental Transition,,,Climate: Asian Cities,Cost-benefit analysis study,,316928,India,105643,,,"Dayal, Ashvin",8/1/12,10/31/14,"in support of a project to strengthen the economic case for investing in climate change resilience and adaptation interventions by conducting cost-benefit analyses of systematic efforts in two Asian Cities Climate Change Resilience Network cities (Gorakhpur, India and Da Nang, Vietnam)"
2012 CAC 310,Institute for Social and Environmental Transition,,,Climate: Asian Cities,Cost-benefit analysis study,,316928,India,48248,,,"Dayal, Ashvin",8/1/12,10/31/14,"in support of a project to strengthen the economic case for investing in climate change resilience and adaptation interventions by conducting cost-benefit analyses of systematic efforts in two Asian Cities Climate Change Resilience Network cities (Gorakhpur, India and Da Nang, Vietnam)"
2012 CAC 310,Institute for Social and Environmental Transition,,,Climate: Asian Cities,Cost-benefit analysis study,,316928,Vietnam,105643,,,"Dayal, Ashvin",8/1/12,10/31/14,"in support of a project to strengthen the economic case for investing in climate change resilience and adaptation interventions by conducting cost-benefit analyses of systematic efforts in two Asian Cities Climate Change Resilience Network cities (Gorakhpur, India and Da Nang, Vietnam)"
2012 CAC 310,Institute for Social and Environmental Transition,,,Climate: Asian Cities,Cost-benefit analysis study,,316928,Vietnam,48248,,,"Dayal, Ashvin",8/1/12,10/31/14,"in support of a project to strengthen the economic case for investing in climate change resilience and adaptation interventions by conducting cost-benefit analyses of systematic efforts in two Asian Cities Climate Change Resilience Network cities (Gorakhpur, India and Da Nang, Vietnam)"
2012 CAC 311,International Council for Local Environmental Initiatives - Australia/New Zealand Limited,,,Climate: Asian Cities,Building Climate Resilience: The Economics of Alternative Development Futures,,1750000,,,Asia,150000,"Dayal, Ashvin",9/1/12,12/31/15,"in support of scaling up demand and capacity of new cities in Bangladesh, India, Indonesia and the Philippines to plan, finance and execute measures across a range of critical Urban Climate Change Resilience (UCCR) actions, using streamlined tools and methods that enable cities to rapidly adopt UCCR-building practices"
2012 CAC 311,International Council for Local Environmental Initiatives - Australia/New Zealand Limited,,,Climate: Asian Cities,Building Climate Resilience: The Economics of Alternative Development Futures,,1750000,Australia,424001,,,"Dayal, Ashvin",9/1/12,12/31/15,"in support of scaling up demand and capacity of new cities in Bangladesh, India, Indonesia and the Philippines to plan, finance and execute measures across a range of critical Urban Climate Change Resilience (UCCR) actions, using streamlined tools and methods that enable cities to rapidly adopt UCCR-building practices"
2012 CAC 311,International Council for Local Environmental Initiatives - Australia/New Zealand Limited,,,Climate: Asian Cities,Building Climate Resilience: The Economics of Alternative Development Futures,,1750000,Bangladesh,344364,,,"Dayal, Ashvin",9/1/12,12/31/15,"in support of scaling up demand and capacity of new cities in Bangladesh, India, Indonesia and the Philippines to plan, finance and execute measures across a range of critical Urban Climate Change Resilience (UCCR) actions, using streamlined tools and methods that enable cities to rapidly adopt UCCR-building practices"
2012 CAC 311,International Council for Local Environmental Initiatives - Australia/New Zealand Limited,,,Climate: Asian Cities,Building Climate Resilience: The Economics of Alternative Development Futures,,1750000,England,100000,,,"Dayal, Ashvin",9/1/12,12/31/15,"in support of scaling up demand and capacity of new cities in Bangladesh, India, Indonesia and the Philippines to plan, finance and execute measures across a range of critical Urban Climate Change Resilience (UCCR) actions, using streamlined tools and methods that enable cities to rapidly adopt UCCR-building practices"
2012 CAC 311,International Council for Local Environmental Initiatives - Australia/New Zealand Limited,,,Climate: Asian Cities,Building Climate Resilience: The Economics of Alternative Development Futures,,1750000,India,322008,,,"Dayal, Ashvin",9/1/12,12/31/15,"in support of scaling up demand and capacity of new cities in Bangladesh, India, Indonesia and the Philippines to plan, finance and execute measures across a range of critical Urban Climate Change Resilience (UCCR) actions, using streamlined tools and methods that enable cities to rapidly adopt UCCR-building practices"
2012 CAC 311,International Council for Local Environmental Initiatives - Australia/New Zealand Limited,,,Climate: Asian Cities,Building Climate Resilience: The Economics of Alternative Development Futures,,1750000,Indonesia,254595,,,"Dayal, Ashvin",9/1/12,12/31/15,"in support of scaling up demand and capacity of new cities in Bangladesh, India, Indonesia and the Philippines to plan, finance and execute measures across a range of critical Urban Climate Change Resilience (UCCR) actions, using streamlined tools and methods that enable cities to rapidly adopt UCCR-building practices"
2012 CAC 311,International Council for Local Environmental Initiatives - Australia/New Zealand Limited,,,Climate: Asian Cities,Building Climate Resilience: The Economics of Alternative Development Futures,,1750000,Philippines,255032,,,"Dayal, Ashvin",9/1/12,12/31/15,"in support of scaling up demand and capacity of new cities in Bangladesh, India, Indonesia and the Philippines to plan, finance and execute measures across a range of critical Urban Climate Change Resilience (UCCR) actions, using streamlined tools and methods that enable cities to rapidly adopt UCCR-building practices"
2012 CAC 311,International Council for Local Environmental Initiatives - Australia/New Zealand Limited,,,Climate: Asian Cities,Building Climate Resilience: The Economics of Alternative Development Futures,,1750000,,,SouthAsia,666372,"Dayal, Ashvin",9/1/12,12/31/15,"in support of scaling up demand and capacity of new cities in Bangladesh, India, Indonesia and the Philippines to plan, finance and execute measures across a range of critical Urban Climate Change Resilience (UCCR) actions, using streamlined tools and methods that enable cities to rapidly adopt UCCR-building practices"
2012 CAC 311,International Council for Local Environmental Initiatives - Australia/New Zealand Limited,,,Climate: Asian Cities,Building Climate Resilience: The Economics of Alternative Development Futures,,1750000,,,SouthEastAsia,509627,"Dayal, Ashvin",9/1/12,12/31/15,"in support of scaling up demand and capacity of new cities in Bangladesh, India, Indonesia and the Philippines to plan, finance and execute measures across a range of critical Urban Climate Change Resilience (UCCR) actions, using streamlined tools and methods that enable cities to rapidly adopt UCCR-building practices"
2012 CAC 311,International Council for Local Environmental Initiatives - Australia/New Zealand Limited,,,Climate: Asian Cities,Building Climate Resilience: The Economics of Alternative Development Futures,,1750000,UnitedStates,50000,,,"Dayal, Ashvin",9/1/12,12/31/15,"in support of scaling up demand and capacity of new cities in Bangladesh, India, Indonesia and the Philippines to plan, finance and execute measures across a range of critical Urban Climate Change Resilience (UCCR) actions, using streamlined tools and methods that enable cities to rapidly adopt UCCR-building practices"
2012 CAC 312,Indian Council for Research on International Economic Relations,,,Climate: Asian Cities,Climate Change and the Economic Competitiveness of Cities: Making the Business Case for Adaptation,,325000,India,325000,,,"Dayal, Ashvin",8/1/12,7/31/15,"in support of research in four Asian Cities Climate Change Resilience Network cities in India (Surat, Gorakhpur, Pune and Cochin) to enable a robust policy dialogue with government and the private sector on strengthening the economic competitiveness of cities by investing in urban climate change resilience"
2012 CAC 313,Thailand Environment Institute Foundation,,,Climate: Asian Cities,City Project - Chiang Rai climate resilience urban planning,,400000,Thailand,400000,,,"Dayal, Ashvin",11/1/12,4/30/15,"in support of a project to integrate and institutionalize climate resilient strategies into the urban and economic development planning process of Chiang Rai city, specifically supporting a robust process of public consultations and dialogues that feed into planning decisions that ensure an inclusive and climate-informed Urban Land Use Plan, as part of the Asian Cities Climate Change Resilience Network"
2012 CAC 314,Taru Leading Edge Private Limited,,,Climate: Asian Cities,City Project - Indore lake restoration,,746502,India,272000,,,"Dayal, Ashvin",10/1/12,3/31/16,"in support of a project to ensure availability of local water resources, especially during emergency drought situations, by developing a replicable model for peri-urban lake rejuvenation and conservation in the water-scarce city of Indore, India, as part of the Asian Cities Climate Change Resilience Network"
2012 CAC 314,Taru Leading Edge Private Limited,,,Climate: Asian Cities,City Project - Indore lake restoration,,746502,India,746502,,,"Dayal, Ashvin",10/1/12,3/31/16,"in support of a project to ensure availability of local water resources, especially during emergency drought situations, by developing a replicable model for peri-urban lake rejuvenation and conservation in the water-scarce city of Indore, India, as part of the Asian Cities Climate Change Resilience Network"
2012 CAC 316,Taru Leading Edge Private Limited,,,Climate: Asian Cities,Promoting Cool Roof & Passive Ventilation Concepts for Indoor Temperature Comfort in Indore & Surat,,556126,India,556126,,,"Dayal, Ashvin",8/1/12,1/31/15,"in support of a project to improve indoor thermal comfort and reduce energy demands for low-income households in the Indian cities of Indore and Surat by identifying, piloting and mainstreaming cool roof and passive ventilation technologies to a range of urban buildings, as part of the Asian Cities Climate Change Resilience Network"
2012 CAC 317,National Institute of Urban Affairs,,,Climate: Asian Cities,India national policy engagement,,320700,India,320700,,,"Dayal, Ashvin",10/1/12,9/30/15,"in support of a project to build its capacity on urban climate change resilience issues and engage key national, state and regional institutions through training, knowledge networking, research and policy development on the promotion of climate resilient urban development and planning in India, as part of the Asian Cities Climate Change Resilience Network"
2012 CAC 317,National Institute of Urban Affairs,,,Climate: Asian Cities,India national policy engagement,,320700,India,45738,,,"Dayal, Ashvin",10/1/12,9/30/15,"in support of a project to build its capacity on urban climate change resilience issues and engage key national, state and regional institutions through training, knowledge networking, research and policy development on the promotion of climate resilient urban development and planning in India, as part of the Asian Cities Climate Change Resilience Network"
2012 CAC 318,Institute for Social and Environmental Transition,,,Climate: Asian Cities,Can Tho community based canal and riverbank strengthening,,467838,Vietnam,224389,,,"Dayal, Ashvin",11/1/12,12/31/15,"toward the costs of community-based flood and erosion management in Can Tho City, Vietnam, through the development of practical mechanisms used for stabilizing riverbank areas and rehabilitating drainage channels, thereby strengthening the climate resilience of vulnerable urban households, especially those located near rivers and canals, as part of the Asian Cities Climate Change Resilience Network"
2012 CAC 318,Institute for Social and Environmental Transition,,,Climate: Asian Cities,Can Tho community based canal and riverbank strengthening,,467838,Vietnam,467838,,,"Dayal, Ashvin",11/1/12,12/31/15,"toward the costs of community-based flood and erosion management in Can Tho City, Vietnam, through the development of practical mechanisms used for stabilizing riverbank areas and rehabilitating drainage channels, thereby strengthening the climate resilience of vulnerable urban households, especially those located near rivers and canals, as part of the Asian Cities Climate Change Resilience Network"
2012 CAC 318,Institute for Social and Environmental Transition,,,Climate: Asian Cities,Can Tho community based canal and riverbank strengthening,,467838,Vietnam,467838,,,"Dayal, Ashvin",11/1/12,12/31/15,"toward the costs of community-based flood and erosion management in Can Tho City, Vietnam, through the development of practical mechanisms used for stabilizing riverbank areas and rehabilitating drainage channels, thereby strengthening the climate resilience of vulnerable urban households, especially those located near rivers and canals, as part of the Asian Cities Climate Change Resilience Network"
2012 CAC 319,Institute for Social and Environmental Transition,,,Climate: Asian Cities,City Project: Building flood safe communities in Quy Nhon,,718819,Vietnam,476268,,,"Dayal, Ashvin",1/1/13,12/31/15,"in support of strengthening a flood monitoring and warning system in Quy Nhon City, Vietnam, coupled with community level social resilience building to enable people living in the flood plains of the Ha Thanh and Kon Rivers to respond to and recover from increasingly severe floods, as part of the Asian Cities Climate Change Resilience Network"
2012 CAC 319,Institute for Social and Environmental Transition,,,Climate: Asian Cities,City Project: Building flood safe communities in Quy Nhon,,718819,Vietnam,718819,,,"Dayal, Ashvin",1/1/13,12/31/15,"in support of strengthening a flood monitoring and warning system in Quy Nhon City, Vietnam, coupled with community level social resilience building to enable people living in the flood plains of the Ha Thanh and Kon Rivers to respond to and recover from increasingly severe floods, as part of the Asian Cities Climate Change Resilience Network"
2012 CAC 319,Institute for Social and Environmental Transition,,,Climate: Asian Cities,City Project: Building flood safe communities in Quy Nhon,,718819,Vietnam,718819,,,"Dayal, Ashvin",1/1/13,12/31/15,"in support of strengthening a flood monitoring and warning system in Quy Nhon City, Vietnam, coupled with community level social resilience building to enable people living in the flood plains of the Ha Thanh and Kon Rivers to respond to and recover from increasingly severe floods, as part of the Asian Cities Climate Change Resilience Network"
2012 CAC 320,Mercy Corps,,,Climate: Asian Cities,City Project: Strengthening Coastline Resilience by Expanding Mangrove Plantation in Semarang,,639160,Indonesia,639160,,,"Dayal, Ashvin",1/1/13,12/31/16,"in support of urban mangrove ecosystem restoration in Semarang City, Indonesia, coupled with strategic advocacy to integrate mangrove conservation into local development action plans that will catalyze large scale rehabilitation, with the aim to build resilience of poor and vulnerable groups living along the coast and to develop alternative livelihoods for these target groups, as part of the Asian Cities Climate Change Resilience Network"
2012 CAC 320,Mercy Corps,,,Climate: Asian Cities,City Project: Strengthening Coastline Resilience by Expanding Mangrove Plantation in Semarang,,639160,Indonesia,639160,,,"Dayal, Ashvin",1/1/13,12/31/16,"in support of urban mangrove ecosystem restoration in Semarang City, Indonesia, coupled with strategic advocacy to integrate mangrove conservation into local development action plans that will catalyze large scale rehabilitation, with the aim to build resilience of poor and vulnerable groups living along the coast and to develop alternative livelihoods for these target groups, as part of the Asian Cities Climate Change Resilience Network"
2012 CAC 320,Mercy Corps,,,Climate: Asian Cities,City Project: Strengthening Coastline Resilience by Expanding Mangrove Plantation in Semarang,,639160,Vietnam,15000,,,"Dayal, Ashvin",1/1/13,12/31/16,"in support of urban mangrove ecosystem restoration in Semarang City, Indonesia, coupled with strategic advocacy to integrate mangrove conservation into local development action plans that will catalyze large scale rehabilitation, with the aim to build resilience of poor and vulnerable groups living along the coast and to develop alternative livelihoods for these target groups, as part of the Asian Cities Climate Change Resilience Network"
2012 CAC 321,Mercy Corps,,,Climate: Asian Cities,City Project: Vector-borne disease and climate change in Semarang,,523430,Indonesia,523430,,,"Dayal, Ashvin",1/1/13,12/31/15,"for use by its Indonesia Office in establishing a Health Early Warning System and Health Information System; implementing vector-borne disease prevention methods in six high incidence sub-districts in Semarang city, Indonesia; and creating a complete understanding of future trends of vector-borne disease and health systems in relation to future climate change impacts by improving the urban health resilience of Semarang’s health sector by reducing the incidences of climate-induced vector-borne diseases, as part of the Asian Cities Climate Change Resilience Network"
2012 CAC 322,Institute for Social and Environmental Transition,,,Climate: Asian Cities,City Project: Da Nang Water Resilience Pathways,,431620,Vietnam,223281,,,"Dayal, Ashvin",11/1/12,10/31/14,"toward the costs of an assessment of water supply and efforts to identify a range of viable, sustainable solutions to meet water needs of the city, as part of the Asian Cities Climate Change Resilience Network"
2012 CAC 322,Institute for Social and Environmental Transition,,,Climate: Asian Cities,City Project: Da Nang Water Resilience Pathways,,431620,Vietnam,431620,,,"Dayal, Ashvin",11/1/12,10/31/14,"toward the costs of an assessment of water supply and efforts to identify a range of viable, sustainable solutions to meet water needs of the city, as part of the Asian Cities Climate Change Resilience Network"
2012 CAC 322,Institute for Social and Environmental Transition,,,Climate: Asian Cities,City Project: Da Nang Water Resilience Pathways,,431620,Vietnam,431620,,,"Dayal, Ashvin",11/1/12,10/31/14,"toward the costs of an assessment of water supply and efforts to identify a range of viable, sustainable solutions to meet water needs of the city, as part of the Asian Cities Climate Change Resilience Network"
2012 CCP 301,Oxfam-America Inc.,,,Climate: Policy & Replication,"Advocacy, capacity building and tracking of climate finance",,1303865,England,125440,,,"Rumbaitis Del Rio, Cristina",12/1/12,3/31/15,"in support of a collaborative project with the Overseas Development Institute and the World Resources Institute to analyze how climate finance is delivered at the local level in Uganda, Zambia, Nepal and the Philippines, and to pilot new tools to improve the transparency and accountability of climate finance use in an effort to strengthen climate change adaptation and resilience globally"
2012 CCP 301,Oxfam-America Inc.,,,Climate: Policy & Replication,"Advocacy, capacity building and tracking of climate finance",,1303865,England,35860,,,"Rumbaitis Del Rio, Cristina",12/1/12,3/31/15,"in support of a collaborative project with the Overseas Development Institute and the World Resources Institute to analyze how climate finance is delivered at the local level in Uganda, Zambia, Nepal and the Philippines, and to pilot new tools to improve the transparency and accountability of climate finance use in an effort to strengthen climate change adaptation and resilience globally"
2012 CCP 301,Oxfam-America Inc.,,,Climate: Policy & Replication,"Advocacy, capacity building and tracking of climate finance",,1303865,,,Global,260773,"Rumbaitis Del Rio, Cristina",12/1/12,3/31/15,"in support of a collaborative project with the Overseas Development Institute and the World Resources Institute to analyze how climate finance is delivered at the local level in Uganda, Zambia, Nepal and the Philippines, and to pilot new tools to improve the transparency and accountability of climate finance use in an effort to strengthen climate change adaptation and resilience globally"
2012 CCP 301,Oxfam-America Inc.,,,Climate: Policy & Replication,"Advocacy, capacity building and tracking of climate finance",,1303865,Nepal,150000,,,"Rumbaitis Del Rio, Cristina",12/1/12,3/31/15,"in support of a collaborative project with the Overseas Development Institute and the World Resources Institute to analyze how climate finance is delivered at the local level in Uganda, Zambia, Nepal and the Philippines, and to pilot new tools to improve the transparency and accountability of climate finance use in an effort to strengthen climate change adaptation and resilience globally"
2012 CCP 301,Oxfam-America Inc.,,,Climate: Policy & Replication,"Advocacy, capacity building and tracking of climate finance",,1303865,Nepal,150002,,,"Rumbaitis Del Rio, Cristina",12/1/12,3/31/15,"in support of a collaborative project with the Overseas Development Institute and the World Resources Institute to analyze how climate finance is delivered at the local level in Uganda, Zambia, Nepal and the Philippines, and to pilot new tools to improve the transparency and accountability of climate finance use in an effort to strengthen climate change adaptation and resilience globally"
2012 CCP 301,Oxfam-America Inc.,,,Climate: Policy & Replication,"Advocacy, capacity building and tracking of climate finance",,1303865,Nepal,260773,,,"Rumbaitis Del Rio, Cristina",12/1/12,3/31/15,"in support of a collaborative project with the Overseas Development Institute and the World Resources Institute to analyze how climate finance is delivered at the local level in Uganda, Zambia, Nepal and the Philippines, and to pilot new tools to improve the transparency and accountability of climate finance use in an effort to strengthen climate change adaptation and resilience globally"
2012 CCP 301,Oxfam-America Inc.,,,Climate: Policy & Replication,"Advocacy, capacity building and tracking of climate finance",,1303865,Philippines,150000,,,"Rumbaitis Del Rio, Cristina",12/1/12,3/31/15,"in support of a collaborative project with the Overseas Development Institute and the World Resources Institute to analyze how climate finance is delivered at the local level in Uganda, Zambia, Nepal and the Philippines, and to pilot new tools to improve the transparency and accountability of climate finance use in an effort to strengthen climate change adaptation and resilience globally"
2012 CCP 301,Oxfam-America Inc.,,,Climate: Policy & Replication,"Advocacy, capacity building and tracking of climate finance",,1303865,Philippines,150003,,,"Rumbaitis Del Rio, Cristina",12/1/12,3/31/15,"in support of a collaborative project with the Overseas Development Institute and the World Resources Institute to analyze how climate finance is delivered at the local level in Uganda, Zambia, Nepal and the Philippines, and to pilot new tools to improve the transparency and accountability of climate finance use in an effort to strengthen climate change adaptation and resilience globally"
2012 CCP 301,Oxfam-America Inc.,,,Climate: Policy & Replication,"Advocacy, capacity building and tracking of climate finance",,1303865,Philippines,260773,,,"Rumbaitis Del Rio, Cristina",12/1/12,3/31/15,"in support of a collaborative project with the Overseas Development Institute and the World Resources Institute to analyze how climate finance is delivered at the local level in Uganda, Zambia, Nepal and the Philippines, and to pilot new tools to improve the transparency and accountability of climate finance use in an effort to strengthen climate change adaptation and resilience globally"
2012 CCP 301,Oxfam-America Inc.,,,Climate: Policy & Replication,"Advocacy, capacity building and tracking of climate finance",,1303865,Uganda,149050,,,"Rumbaitis Del Rio, Cristina",12/1/12,3/31/15,"in support of a collaborative project with the Overseas Development Institute and the World Resources Institute to analyze how climate finance is delivered at the local level in Uganda, Zambia, Nepal and the Philippines, and to pilot new tools to improve the transparency and accountability of climate finance use in an effort to strengthen climate change adaptation and resilience globally"
2012 CCP 301,Oxfam-America Inc.,,,Climate: Policy & Replication,"Advocacy, capacity building and tracking of climate finance",,1303865,Uganda,149050,,,"Rumbaitis Del Rio, Cristina",12/1/12,3/31/15,"in support of a collaborative project with the Overseas Development Institute and the World Resources Institute to analyze how climate finance is delivered at the local level in Uganda, Zambia, Nepal and the Philippines, and to pilot new tools to improve the transparency and accountability of climate finance use in an effort to strengthen climate change adaptation and resilience globally"
2012 CCP 301,Oxfam-America Inc.,,,Climate: Policy & Replication,"Advocacy, capacity building and tracking of climate finance",,1303865,Uganda,260773,,,"Rumbaitis Del Rio, Cristina",12/1/12,3/31/15,"in support of a collaborative project with the Overseas Development Institute and the World Resources Institute to analyze how climate finance is delivered at the local level in Uganda, Zambia, Nepal and the Philippines, and to pilot new tools to improve the transparency and accountability of climate finance use in an effort to strengthen climate change adaptation and resilience globally"
2012 CCP 301,Oxfam-America Inc.,,,Climate: Policy & Replication,"Advocacy, capacity building and tracking of climate finance",,1303865,UnitedStates,127680,,,"Rumbaitis Del Rio, Cristina",12/1/12,3/31/15,"in support of a collaborative project with the Overseas Development Institute and the World Resources Institute to analyze how climate finance is delivered at the local level in Uganda, Zambia, Nepal and the Philippines, and to pilot new tools to improve the transparency and accountability of climate finance use in an effort to strengthen climate change adaptation and resilience globally"
2012 CCP 301,Oxfam-America Inc.,,,Climate: Policy & Replication,"Advocacy, capacity building and tracking of climate finance",,1303865,Zambia,148609,,,"Rumbaitis Del Rio, Cristina",12/1/12,3/31/15,"in support of a collaborative project with the Overseas Development Institute and the World Resources Institute to analyze how climate finance is delivered at the local level in Uganda, Zambia, Nepal and the Philippines, and to pilot new tools to improve the transparency and accountability of climate finance use in an effort to strengthen climate change adaptation and resilience globally"
2012 CCP 301,Oxfam-America Inc.,,,Climate: Policy & Replication,"Advocacy, capacity building and tracking of climate finance",,1303865,Zambia,148610,,,"Rumbaitis Del Rio, Cristina",12/1/12,3/31/15,"in support of a collaborative project with the Overseas Development Institute and the World Resources Institute to analyze how climate finance is delivered at the local level in Uganda, Zambia, Nepal and the Philippines, and to pilot new tools to improve the transparency and accountability of climate finance use in an effort to strengthen climate change adaptation and resilience globally"
2012 CCP 301,Oxfam-America Inc.,,,Climate: Policy & Replication,"Advocacy, capacity building and tracking of climate finance",,1303865,Zambia,260773,,,"Rumbaitis Del Rio, Cristina",12/1/12,3/31/15,"in support of a collaborative project with the Overseas Development Institute and the World Resources Institute to analyze how climate finance is delivered at the local level in Uganda, Zambia, Nepal and the Philippines, and to pilot new tools to improve the transparency and accountability of climate finance use in an effort to strengthen climate change adaptation and resilience globally"
2012 CSD 203,KickStart-International Inc.,,,CSRD- Africa,Micro-Irrigation,,500000,Tanzania,356000,,,"Boltz, Fred",8/1/12,12/31/14,"in support of a collaboration with Sokoine University of Agriculture to test scalable micro-irrigation interventions in an effort to demonstrate that they can serve as an effective tool and model to help increase the agricultural productivity, incomes and climate resilience of smallholder farmers in climate sensitive areas of Tanzania"
2012 CSD 203,KickStart-International Inc.,,,CSRD- Africa,Micro-Irrigation,,500000,Tanzania,500000,,,"Boltz, Fred",8/1/12,12/31/14,"in support of a collaboration with Sokoine University of Agriculture to test scalable micro-irrigation interventions in an effort to demonstrate that they can serve as an effective tool and model to help increase the agricultural productivity, incomes and climate resilience of smallholder farmers in climate sensitive areas of Tanzania"
2012 CSD 203,KickStart-International Inc.,,,CSRD- Africa,Micro-Irrigation,,500000,Tanzania,71000,,,"Boltz, Fred",8/1/12,12/31/14,"in support of a collaboration with Sokoine University of Agriculture to test scalable micro-irrigation interventions in an effort to demonstrate that they can serve as an effective tool and model to help increase the agricultural productivity, incomes and climate resilience of smallholder farmers in climate sensitive areas of Tanzania"
2012 CSD 204,Ethiopian Institute of Agricultural Research,,,CSRD- Africa,Collaborative climate smart agriculture grant,,250000,,,Africa,250000,"Boltz, Fred",9/1/12,6/30/15,in support of using seasonal climate forecasting and established management practices to reduce the vulnerability of agricultural production in Ethiopia and Uganda to climate change and weather variability
2012 CSD 204,Ethiopian Institute of Agricultural Research,,,CSRD- Africa,Collaborative climate smart agriculture grant,,250000,Ethiopia,23300,,,"Boltz, Fred",9/1/12,6/30/15,in support of using seasonal climate forecasting and established management practices to reduce the vulnerability of agricultural production in Ethiopia and Uganda to climate change and weather variability
2012 CSD 204,Ethiopian Institute of Agricultural Research,,,CSRD- Africa,Collaborative climate smart agriculture grant,,250000,Uganda,78275,,,"Boltz, Fred",9/1/12,6/30/15,in support of using seasonal climate forecasting and established management practices to reduce the vulnerability of agricultural production in Ethiopia and Uganda to climate change and weather variability
2012 CSD 205,ETC Foundation,,,CSRD- Africa,Strengthening climate change resilience via participatory innovation development,,775000,Ethiopia,126554,,,"Boltz, Fred",9/1/12,8/31/15,"for use by its Prolinnova network to work with farmers in Uganda, Tanzania, Kenya and Ethiopia to develop, document and disseminate agricultural practices that build resilience to climate change"
2012 CSD 205,ETC Foundation,,,CSRD- Africa,Strengthening climate change resilience via participatory innovation development,,775000,Ethiopia,126554,,,"Boltz, Fred",9/1/12,8/31/15,"for use by its Prolinnova network to work with farmers in Uganda, Tanzania, Kenya and Ethiopia to develop, document and disseminate agricultural practices that build resilience to climate change"
2012 CSD 205,ETC Foundation,,,CSRD- Africa,Strengthening climate change resilience via participatory innovation development,,775000,,,Global,269375,"Boltz, Fred",9/1/12,8/31/15,"for use by its Prolinnova network to work with farmers in Uganda, Tanzania, Kenya and Ethiopia to develop, document and disseminate agricultural practices that build resilience to climate change"
2012 CSD 205,ETC Foundation,,,CSRD- Africa,Strengthening climate change resilience via participatory innovation development,,775000,Kenya,127352,,,"Boltz, Fred",9/1/12,8/31/15,"for use by its Prolinnova network to work with farmers in Uganda, Tanzania, Kenya and Ethiopia to develop, document and disseminate agricultural practices that build resilience to climate change"
2012 CSD 205,ETC Foundation,,,CSRD- Africa,Strengthening climate change resilience via participatory innovation development,,775000,Kenya,127352,,,"Boltz, Fred",9/1/12,8/31/15,"for use by its Prolinnova network to work with farmers in Uganda, Tanzania, Kenya and Ethiopia to develop, document and disseminate agricultural practices that build resilience to climate change"
